75738 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:23 | Soft Killed
75750 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:56:23 | Soft Killed
75702 | ps | CPU:400% | MEM:0.2% | 2025-12-19 10:56:25 | Soft Killed
75702 | ps | CPU:400% | MEM:0.2% | 2025-12-19 10:56:25 | Soft Killed
75702 | ps | CPU:400% | MEM:0.2% | 2025-12-19 10:56:25 | Soft Killed
75803 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:27 | Soft Killed
75823 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:56:29 | Soft Killed
75837 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:29 | Soft Killed
75841 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:56:30 | Soft Killed
75853 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:31 | Soft Killed
75870 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:32 | Soft Killed
75870 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:56:32 | Soft Killed
75870 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:32 | Soft Killed
75872 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:34 | Soft Killed
75872 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:34 | Soft Killed
75872 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:34 | Soft Killed
75912 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:56:34 | Soft Killed
75932 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:36 | Soft Killed
75873 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:36 | Soft Killed
75873 | ps | CPU:300% | MEM:0.0% | 2025-12-19 10:56:36 | Soft Killed
75873 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:36 | Soft Killed
75955 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:36 | Soft Killed
75959 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:56:37 | Soft Killed
75971 | ps | CPU:150% | MEM:0.2% | 2025-12-19 10:56:38 | Soft Killed
75973 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:40 | Soft Killed
76022 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:56:41 | Soft Killed
